50,56,43,51,54,69,66,59,35,53,49,84,63,49,53,46,65,54,82,16,42,38,63,61,30,29,44,30,46,38,61,37,36,38,31,28,30,79,47,30,32,64,30,51,36,37,85,72,182,481,786,592,733,689,697,686,760,639,863,596,918,776,808,706,888,701,644,647,898,880,882,728,531,542,575,505,520,505,470,487,553,480,446,369,444,325,340,325,255,300,229,154,104,75,68,43,54,78,61,65,51,51,54,46,28,43,70,19,42,34,53,34,33,55,33,54,51,20,37,35,40,72,31,33,56,46,67,23,44,48,36,50,37,46,26,24,27,48,38,57,24,52,31,42,35,59,25,32,18,27,53,33,56,50,39,35,50,28,30,29,55,30,48,34,48,32,48,30,24,83,56,40
62,42,56,30,56,33,59,42,46,34,66,37,43,30,57,44,25,31,63,71,58,66,85,52,69,331,633,753,741,517,746,767,566,1024,705,767,964,688,882,857,1044,974,660,1024,683,986,1099,1114,890,952,1003,683,536,547,659,442,485,548,517,448,434,440,342,353,378,316,304,310,244,243,233,200,143,98,74,79,91,91,102,54,41,51,81,64,56,48,33,52,73,39,76,40,92,65,73,38,43,44,34,44,27,65,67,37,27,32,41,30,42,36,42,44,71,49,58,49,40,56,34,41,53,70,27,30,31,55,78,41,25,36,42,46,29,44,69,59,33,44,29,88,30,26,56,55,46,49,33,41,90,49,64,37,59,26,41,32,53,34,39,34,44,23,39,43,31,42,44,58,46,47,36,60
30,81,28,45,30,76,42,46,47,38,74,56,37,52,105,66,52,46,41,33,41,23,39,29,50,22,75,28,56,35,246,583,732,675,667,607,632,772,684,656,643,860,687,928,829,739,909,722,947,836,1032,654,782,882,882,801,991,751,632,500,384,403,437,448,487,429,433,342,318,310,279,224,318,244,307,189,146,142,147,58,76,56,102,35,55,91,80,35,65,43,35,40,31,62,53,57,36,51,28,34,26,57,26,35,55,60,39,64,26,61,25,52,42,38,74,49,66,47,41,22,76,30,48,47,41,57,76,28,55,25,96,35,68,42,36,35,46,46,42,56,37,58,28,78,29,60,34,44,45,46,42,26,21,41,43,51,30,86,31,60,72,76,54,91,50,48,76,34,70,47,69,67
49,51,50,28,46,24,54,37,32,44,52,39,47,45,31,35,101,40,37,35,40,40,25,43,66,35,51,59,47,58,85,48,102,295,585,742,991,571,594,751,838,1174,1114,993,809,869,698,710,750,833,921,920,929,826,1107,1197,938,1223,1169,1008,1033,989,653,636,562,506,470,520,537,427,441,406,413,373,370,408,335,320,244,217,187,128,68,117,91,66,57,81,48,101,58,45,52,81,22,34,33,59,70,49,47,28,32,44,38,44,45,49,38,39,41,23,50,70,61,45,114,29,40,34,60,80,28,62,19,64,21,46,29,57,44,78,24,43,29,40,41,57,78,79,22,40,34,31,63,34,76,19,59,39,44,38,34,41,50,30,43,41,78,44,86,36,37,34,38,54,33,79,45,57,63,78
23,51,42,56,55,72,52,56,36,34,58,49,36,37,37,26,34,83,30,32,71,32,41,38,107,99,159,455,644,1087,848,616,720,854,643,774,753,633,887,638,528,693,905,745,887,908,1134,882,826,1124,1214,1037,983,1222,1216,1177,1029,1000,681,501,503,601,590,437,439,419,393,337,435,371,362,246,254,216,168,113,89,60,51,45,37,46,62,38,64,50,34,39,48,67,88,41,27,51,53,55,91,50,30,46,47,49,62,53,25,27,42,48,27,29,38,26,42,69,59,28,45,53,47,67,38,70,38,29,53,28,33,35,33,29,27,34,47,26,42,58,21,53,50,106,12,31,23,31,24,18,71,23,21,52,34,48,32,73,50,45,44,51,28,40,72,40,49,47,37,51,48,61,56,27,53,28
34,62,27,38,33,30,77,36,57,28,69,31,42,60,30,33,45,56,20,32,36,32,30,58,74,35,23,49,34,57,34,23,31,35,30,31,41,33,127,175,456,718,1117,802,1170,892,1309,1154,1331,1114,899,1185,793,1070,901,1168,823,865,961,779,708,846,730,933,851,1189,1171,1185,1266,1228,893,811,611,582,458,438,504,484,502,434,387,352,329,210,208,270,253,232,226,170,170,112,122,43,56,61,75,47,76,42,45,32,60,36,50,28,33,48,34,63,37,51,26,37,63,71,67,65,47,66,84,66,35,29,82,55,60,61,42,45,79,26,58,32,74,73,42,43,69,49,49,55,60,37,63,46,35,42,37,57,51,51,73,56,30,39,54,70,84,60,25,68,55,39,36,48,71,83,29,43,27,37
54,97,49,47,46,87,53,49,27,46,53,70,39,46,44,58,47,44,59,65,51,23,74,32,32,76,23,33,60,42,27,90,41,76,34,25,31,50,49,27,69,47,18,33,58,48,27,99,42,79,111,254,615,897,694,770,721,796,738,1019,1085,1088,1243,937,1084,987,991,912,1145,1162,949,1079,1262,1020,648,711,1237,1253,1217,1046,865,614,523,561,602,518,665,550,486,491,363,376,310,359,311,268,191,227,206,106,74,74,81,53,55,73,43,44,64,47,48,30,46,32,45,55,86,39,32,33,67,41,49,52,45,62,44,29,48,32,59,30,21,35,27,66,52,66,57,36,37,21,51,44,55,22,62,31,76,24,29,27,54,49,45,56,66,46,55,42,44,66,83,83,58,63,55,62,49,63,60,81
37,44,40,37,36,55,32,43,26,75,32,49,25,56,64,88,47,28,61,34,79,45,63,42,45,41,64,28,46,42,35,29,43,77,32,48,64,25,57,38,36,66,53,44,55,59,85,80,311,633,903,673,626,695,868,969,891,1000,1052,1190,852,942,903,872,1042,805,970,1110,1013,1048,909,1176,1325,1074,1167,1254,1102,906,635,727,450,488,527,525,498,518,442,393,341,325,273,238,233,175,145,92,71,83,63,78,52,48,41,62,52,44,31,62,39,45,40,41,41,34,46,34,55,20,45,41,33,49,50,65,73,47,57,62,38,42,59,19,48,32,43,34,46,58,54,66,34,50,67,40,38,26,30,64,95,43,48,58,46,78,55,40,35,60,61,41,49,31,48,54,36,22,37,42,47,54,36,79
29,45,78,30,46,42,61,64,41,61,88,54,32,46,32,120,28,40,29,35,48,42,32,36,49,44,40,47,56,57,45,27,49,47,37,52,31,56,58,34,24,23,45,55,27,31,37,52,46,91,321,603,761,938,817,609,683,667,746,712,975,942,1017,1011,973,1140,966,1063,1109,1138,1205,880,1176,1048,1036,869,719,1099,1263,871,734,629,493,514,459,535,421,374,435,273,289,291,273,224,249,171,142,124,54,82,66,65,49,52,49,39,38,57,61,36,23,34,28,29,33,52,39,39,38,32,36,68,24,57,54,40,26,44,57,37,46,35,39,63,71,62,40,33,33,47,51,28,47,53,34,55,55,63,47,67,66,36,57,54,65,36,41,46,34,50,37,56,98,35,40,45,43,57,30,37,26,30
67,65,38,29,36,58,108,43,38,62,44,34,52,58,68,42,38,24,52,25,58,68,100,30,49,62,49,49,54,76,48,28,55,25,83,37,36,56,81,66,50,53,56,104,158,514,840,858,1056,771,747,842,938,885,1093,995,942,944,982,956,800,1003,915,991,1063,1101,1060,788,971,912,1248,862,891,771,637,588,605,480,465,520,569,531,424,454,380,377,335,316,286,239,267,215,148,67,43,52,79,63,48,41,36,41,39,68,27,34,34,59,26,30,31,41,53,35,44,36,73,35,33,47,37,44,41,54,31,52,76,46,32,41,29,66,40,53,37,62,46,23,45,39,35,24,40,36,40,43,28,34,50,53,41,90,36,58,42,32,57,36,55,100,70,74,31,35,47,35,37,53,36,30,28,42
46,19,33,46,71,24,56,30,32,59,50,83,37,43,27,32,42,26,27,30,35,39,22,43,28,62,33,67,36,58,63,60,81,50,70,43,68,48,70,46,35,41,104,71,333,655,717,820,870,640,884,809,583,948,551,889,705,832,1042,735,894,821,1155,1007,1208,1199,1062,1160,1196,1306,1243,1231,920,617,605,494,637,724,610,537,524,395,336,346,336,328,302,207,178,183,120,60,86,60,108,59,33,26,162,44,26,48,61,56,66,38,53,39,17,47,65,47,42,46,35,65,46,50,60,49,35,45,65,43,33,45,40,59,43,30,50,50,46,43,49,91,47,44,33,21,34,33,35,30,81,29,36,45,32,45,38,46,34,61,31,51,58,50,81,43,43,44,52,67,23,40,75,89,70,88,92,88
20,36,85,41,51,37,53,47,47,36,56,34,54,76,32,26,52,20,48,67,63,17,54,35,46,36,65,35,42,29,44,33,57,46,58,52,29,49,20,34,26,51,34,45,32,35,22,31,52,54,67,110,136,530,861,815,1045,1115,1323,1033,914,852,1185,970,788,1023,867,892,913,1193,869,1071,869,928,1050,1124,892,862,871,908,1331,1118,951,752,503,523,476,522,572,523,480,448,364,332,298,364,344,298,254,213,269,186,117,54,96,88,70,24,59,49,38,39,73,56,48,21,40,52,35,53,35,43,33,52,49,51,68,30,34,37,39,35,40,37,48,53,38,34,43,49,41,61,75,47,21,43,49,53,46,54,24,33,48,46,64,36,49,32,65,43,22,35,37,33,50,49,47,69,52,43,59,56
24,35,28,79,25,47,41,31,42,48,57,48,35,43,29,35,41,64,30,41,31,28,41,44,43,95,28,30,32,62,50,26,39,55,76,56,50,75,47,67,74,57,53,38,43,35,46,46,42,65,38,122,179,257,740,747,986,1067,1046,1390,1397,1390,1355,944,1070,827,779,1043,1001,1181,971,1007,1022,1152,1130,1091,1069,960,975,1064,972,1117,1097,907,739,544,463,479,457,596,530,516,465,368,418,292,347,352,289,229,284,250,204,202,157,80,72,63,69,49,34,48,47,38,38,44,56,91,25,29,34,33,28,33,49,37,56,50,63,22,27,53,43,22,34,50,32,32,37,19,34,39,51,53,50,46,43,31,39,31,45,60,25,42,64,54,77,34,66,65,29,53,48,41,16,34,53,37,45,36,78,39
20,27,45,47,39,34,59,43,30,28,40,38,60,49,64,42,27,25,51,52,88,24,33,54,51,59,41,41,49,50,38,52,31,50,59,54,68,40,77,50,28,20,34,41,45,26,34,29,61,65,131,262,536,817,749,928,1424,999,1255,1337,1297,1246,1007,1099,1183,1033,855,1007,982,1039,1009,971,1034,948,1133,1136,1104,699,1020,1288,954,699,681,520,629,560,700,623,584,533,443,433,444,385,340,326,263,350,257,254,265,220,208,199,155,114,57,87,73,50,80,82,60,35,60,65,60,75,94,38,43,55,43,40,51,69,38,49,31,74,31,27,38,63,47,32,49,37,31,24,67,29,48,32,89,73,43,33,75,38,87,35,36,33,28,35,30,60,99,44,37,38,20,42,33,55,30,58,25,46,51,32
60,41,44,27,77,42,80,20,36,32,52,23,44,19,36,50,60,33,56,36,49,39,30,63,32,103,38,78,59,55,33,58,30,65,85,106,374,571,939,1008,896,960,869,799,775,742,793,811,807,1028,769,875,822,1087,1011,1001,1145,1110,939,925,845,1224,807,706,709,607,622,737,678,746,839,700,600,482,482,299,328,299,261,240,247,192,232,189,130,133,136,86,63,81,74,45,56,79,50,33,59,69,48,55,36,49,51,34,41,65,50,71,52,57,39,32,91,36,52,47,39,49,31,50,65,51,30,52,56,31,36,51,31,39,26,53,54,39,36,71,37,47,41,57,35,33,46,28,67,60,56,62,43,42,61,31,48,53,46,37,43,30,46,38,39,33,37,47,28,43,36,40,38,43,44,42
43,43,32,52,44,46,45,33,32,52,30,90,36,79,32,42,38,26,38,21,47,34,65,40,46,47,146,52,48,72,110,184,438,900,964,1176,1093,957,909,1219,835,1476,1245,703,1032,1185,1195,1232,1161,1134,908,892,761,635,837,899,902,807,894,1178,952,684,487,485,542,459,360,306,287,279,350,246,226,226,210,202,166,155,130,75,87,60,49,77,100,75,29,34,46,36,39,77,36,35,31,46,42,67,37,57,33,41,33,39,52,64,35,133,46,46,58,42,51,41,37,56,38,28,35,58,37,33,62,66,58,42,58,37,40,50,62,42,34,26,42,53,48,34,40,54,65,32,27,56,54,57,30,30,46,68,58,56,45,78,40,64,46,59,67,32,37,37,39,40,46,65,50,39,50,39,37,47
